id_detalle,id_venta,id_producto,nombre_producto,cantidad,precio_unitario,importe
1,2,71,Vodka 700ml,4,508.0,2032.0
2,3,52,Detergente Líquido 750ml,2,2582.0,5164.0
3,3,27,Alfajor Simple,2,2502.0,5004.0
4,3,23,Bizcochos Salados,1,2380.0,2380.0
5,4,11,Café Molido 250g,1,2053.0,2053.0
6,4,43,Salsa de Tomate 500g,3,887.0,2661.0
7,4,45,Fideos Spaghetti 500g,1,745.0,745.0
8,5,14,Leche Entera 1L,1,1723.0,1723.0
9,6,85,Jugo en Polvo Naranja,1,1856.0,1856.0
10,7,75,Licor de Café 700ml,3,3204.0,9612.0
11,7,73,Gin 700ml,1,1561.0,1561.0
12,8,14,Leche Entera 1L,1,1723.0,1723.0
13,9,1,Coca Cola 1.5L,1,2200.0,2200.0
14,9,69,Sidra 750ml,3,744.0,2232.0
15,9,9,Yerba Mate Suave 1kg,2,3878.0,7756.0
16,10,11,Café Molido 250g,1,2053.0,2053.0
17,11,39,Helado Vainilla 1L,2,469.0,938.0
18,11,33,Chocolate con Leche 100g,1,1255.0,1255.0
19,12,34,Turrón 50g,3,503.0,1509.0
20,13,1,Coca Cola 1.5L,2,2347.0,4694.0
21,13,43,Salsa de Tomate 500g,2,887.0,1774.0
22,13,69,Sidra 750ml,4,744.0,2976.0
23,13,98,Desengrasante 500ml,1,2843.0,2843.0
24,14,39,Helado Vainilla 1L,4,469.0,1876.0
25,14,28,Papas Fritas Clásicas 100g,3,936.0,2808.0
26,14,93,Cepillo de Dientes,3,2142.0,6426.0
27,14,83,Queso Untable 190g,1,1830.0,1830.0
28,15,39,Helado Vainilla 1L,1,469.0,469.0
29,17,4,Fanta Naranja 1.5L,1,2033.0,2033.0
30,17,9,Yerba Mate Suave 1kg,2,3878.0,7756.0
31,17,71,Vodka 700ml,1,508.0,508.0
32,17,20,Pan Lactal Blanco,1,1571.0,1571.0
33,18,21,Pan Lactal Integral,4,272.0,1088.0
34,18,11,Café Molido 250g,2,2053.0,4106.0
35,21,75,Licor de Café 700ml,1,3204.0,3204.0
36,21,5,Agua Mineral 500ml,1,4777.0,4777.0
37,21,95,Mascarilla Capilar,3,1581.0,4743.0
38,22,1,Coca Cola 1.5L,1,2347.0,2347.0
39,22,53,Lavandina 1L,1,1664.0,1664.0
40,23,1,Coca Cola 1.5L,2,2347.0,4694.0
41,25,9,Yerba Mate Suave 1kg,3,3878.0,11634.0
42,25,47,Garbanzos 500g,1,2939.0,2939.0
43,25,93,Cepillo de Dientes,1,2142.0,2142.0
44,25,74,Whisky 750ml,1,2953.0,2953.0
45,25,49,Harina de Trigo 1kg,3,2512.0,7536.0
46,26,95,Mascarilla Capilar,2,1581.0,3162.0
47,27,11,Café Molido 250g,1,2053.0,2053.0
48,28,33,Chocolate con Leche 100g,3,1255.0,3765.0
49,28,24,Galletitas Chocolate,2,1305.0,2610.0
50,28,45,Fideos Spaghetti 500g,4,750.0,3000.0
51,29,14,Leche Entera 1L,3,1723.0,5169.0
52,32,48,Porotos Negros 500g,1,4462.0,4462.0
53,33,50,Azúcar 1kg,2,727.0,1454.0
54,33,36,Dulce de Leche 400g,1,2559.0,2559.0
55,34,95,Mascarilla Capilar,3,1500.0,4500.0
56,35,31,Mix de Frutos Secos 200g,2,3409.0,6818.0
57,35,55,Shampoo 400ml,2,1407.0,2814.0
58,36,11,Café Molido 250g,1,2053.0,2053.0
59,36,15,Leche Descremada 1L,1,2538.0,2538.0
